"","Наименование задачи","Достигнутые результаты","Личный вклад и метрики","Ссылка на рабочее пространство","Приобретенные навыки","План улучшений","Оценка взаимодействия (0-10)","Общая удовлетворенность (0-10)","Общий балл"
"Сотрудник 299","Работа над проектом V","Закрыл 13 задач из бэклога","Запуск без багов","https://example.com/Сотрудник299","Прокачался в автоматизация","Улучшить документацию по процессам","5","9","3"
"Сотрудник 300","Работа над проектом Q","Закрыл 7 задач из бэклога","Обновлена база знаний","https://example.com/Сотрудник300","Прокачался в контейнеризация","Улучшить документацию по процессам","9","8","3"
"Сотрудник 301","Работа над проектом Q","Улучшил производительность на 3%","Запуск без багов","https://example.com/Сотрудник301","Прокачался в микросервисы","Улучшить документацию по API","8","7","3"
"Сотрудник 302","Работа над проектом P","Улучшил производительность на 3%","Запуск без багов","https://example.com/Сотрудник302","Прокачался в микросервисы","Улучшить документацию по API","8","8","3"
"Сотрудник 303","Работа над проектом L","Оптимизировал подписку (+2% конверсии)","SLA соблюдены на 99.8%","https://example.com/Сотрудник303","Прокачался в CI/CD","Улучшить документацию по базам данных","9","7","3"
"Сотрудник 304","Работа над проектом R","Сократил время обработки на 20%","Обновлена база знаний","https://example.com/Сотрудник304","Прокачался в контейнеризация","Улучшить документацию по микросервисам","8","5","3"
"Сотрудник 305","Работа над проектом H","Снизил количество алертов на 9%","Обновлена база знаний","https://example.com/Сотрудник305","Прокачался в автоматизация","Улучшить документацию по базам данных","7","10","3"
"Сотрудник 306","Работа над проектом X","Улучшил производительность на 10%","Достигнуты целевые показатели","https://example.com/Сотрудник306","Прокачался в микросервисы","Улучшить документацию по процессам","7","9","3"
"Сотрудник 307","Работа над проектом W","Улучшил производительность на 5%","Достигнуты целевые показатели","https://example.com/Сотрудник307","Прокачался в микросервисы","Улучшить документацию по микросервисам","5","8","3"
"Сотрудник 308","Работа над проектом K","Оптимизировал подписку (+5% конверсии)","SLA соблюдены на 99.4%","https://example.com/Сотрудник308","Прокачался в автоматизация","Улучшить документацию по микросервисам","5","9","3"
"Сотрудник 309","Работа над проектом J","Сократил время обработки на 4%","SLA соблюдены на 98.9%","https://example.com/Сотрудник309","Прокачался в микросервисы","Улучшить документацию по API","9","9","3"
"Сотрудник 310","Работа над проектом X","Улучшил производительность на 2%","Соблюдены сроки всех задач","https://example.com/Сотрудник310","Прокачался в DevOps","Улучшить документацию по базам данных","10","10","3"
"Сотрудник 311","Работа над проектом N","Закрыл 20 задач из бэклога","SLA соблюдены на 98.1%","https://example.com/Сотрудник311","Прокачался в оптимизация","Улучшить документацию по микросервисам","5","8","3"
"Сотрудник 312","Работа над проектом V","Сократил время обработки на 19%","Достигнуты целевые показатели","https://example.com/Сотрудник312","Прокачался в микросервисы","Улучшить документацию по API","7","6","3"
"Сотрудник 313","Работа над проектом G","Снизил количество алертов на 8%","Запуск без багов","https://example.com/Сотрудник313","Прокачался в DevOps","Улучшить документацию по документации","9","10","3"
"Сотрудник 314","Работа над проектом C","Снизил количество алертов на 7%","Обновлена база знаний","https://example.com/Сотрудник314","Прокачался в контейнеризация","Улучшить документацию по документации","7","5","2"
"Сотрудник 315","Работа над проектом G","Снизил количество алертов на 6%","Соблюдены сроки всех задач","https://example.com/Сотрудник315","Прокачался в DevOps","Улучшить документацию по документации","8","9","3"
"Сотрудник 316","Работа над проектом E","Улучшил производительность на 3%","SLA соблюдены на 99.7%","https://example.com/Сотрудник316","Прокачался в DevOps","Улучшить документацию по микросервисам","5","10","3"
"Сотрудник 317","Работа над проектом I","Оптимизировал подписку (+3% конверсии)","Запуск без багов","https://example.com/Сотрудник317","Прокачался в DevOps","Улучшить документацию по процессам","5","6","2"
"Сотрудник 318","Работа над проектом Y","Закрыл 11 задач из бэклога","SLA соблюдены на 98.2%","https://example.com/Сотрудник318","Прокачался в DevOps","Улучшить документацию по документации","10","5","3"
"Сотрудник 319","Работа над проектом H","Сократил время обработки на 9%","Обновлена база знаний","https://example.com/Сотрудник319","Прокачался в контейнеризация","Улучшить документацию по документации","6","9","3"
"Сотрудник 320","Работа над проектом W","Закрыл 7 задач из бэклога","Соблюдены сроки всех задач","https://example.com/Сотрудник320","Прокачался в автоматизация","Улучшить документацию по API","8","7","3"
"Сотрудник 321","Работа над проектом N","Оптимизировал подписку (+4% конверсии)","Достигнуты целевые показатели","https://example.com/Сотрудник321","Прокачался в автоматизация","Улучшить документацию по базам данных","5","9","3"
"Сотрудник 322","Работа над проектом H","Оптимизировал подписку (+1% конверсии)","SLA соблюдены на 98.1%","https://example.com/Сотрудник322","Прокачался в CI/CD","Улучшить документацию по процессам","9","6","3"
"Сотрудник 323","Работа над проектом T","Улучшил производительность на 6%","Достигнуты целевые показатели","https://example.com/Сотрудник323","Прокачался в контейнеризация","Улучшить документацию по документации","5","5","2"
"Сотрудник 324","Работа над проектом E","Сократил время обработки на 19%","Соблюдены сроки всех задач","https://example.com/Сотрудник324","Прокачался в контейнеризация","Улучшить документацию по базам данных","8","10","3"
"Сотрудник 325","Работа над проектом K","Снизил количество алертов на 5%","Запуск без багов","https://example.com/Сотрудник325","Прокачался в автоматизация","Улучшить документацию по процессам","6","9","3"
"Сотрудник 326","Работа над проектом U","Оптимизировал подписку (+4% конверсии)","Обновлена база знаний","https://example.com/Сотрудник326","Прокачался в контейнеризация","Улучшить документацию по документации","9","7","3"
"Сотрудник 327","Работа над проектом G","Сократил время обработки на 6%","Достигнуты целевые показатели","https://example.com/Сотрудник327","Прокачался в контейнеризация","Улучшить документацию по документации","10","5","3"
"Сотрудник 328","Работа над проектом W","Снизил количество алертов на 7%","SLA соблюдены на 99.3%","https://example.com/Сотрудник328","Прокачался в CI/CD","Улучшить документацию по процессам","8","10","3"
"Сотрудник 329","Работа над проектом E","Снизил количество алертов на 6%","Обновлена база знаний","https://example.com/Сотрудник329","Прокачался в микросервисы","Улучшить документацию по базам данных","9","8","3"
"Сотрудник 330","Работа над проектом I","Снизил количество алертов на 3%","Запуск без багов","https://example.com/Сотрудник330","Прокачался в CI/CD","Улучшить документацию по процессам","8","6","3"
"Сотрудник 331","Работа над проектом J","Оптимизировал подписку (+5% конверсии)","Соблюдены сроки всех задач","https://example.com/Сотрудник331","Прокачался в CI/CD","Улучшить документацию по микросервисам","6","8","3"
"Сотрудник 332","Работа над проектом L","Оптимизировал подписку (+4% конверсии)","SLA соблюдены на 98.0%","https://example.com/Сотрудник332","Прокачался в контейнеризация","Улучшить документацию по документации","9","8","3"
"Сотрудник 333","Работа над проектом A","Улучшил производительность на 2%","Обновлена база знаний","https://example.com/Сотрудник333","Прокачался в автоматизация","Улучшить документацию по базам данных","8","10","3"
"Сотрудник 334","Работа над проектом S","Улучшил производительность на 1%","Запуск без багов","https://example.com/Сотрудник334","Прокачался в DevOps","Улучшить документацию по микросервисам","7","9","3"
"Сотрудник 335","Работа над проектом E","Сократил время обработки на 9%","Обновлена база знаний","https://example.com/Сотрудник335","Прокачался в CI/CD","Улучшить документацию по процессам","5","7","2"
"Сотрудник 336","Работа над проектом K","Снизил количество алертов на 3%","Достигнуты целевые показатели","https://example.com/Сотрудник336","Прокачался в оптимизация","Улучшить документацию по API","5","9","3"
"Сотрудник 337","Работа над проектом Z","Оптимизировал подписку (+1% конверсии)","SLA соблюдены на 98.5%","https://example.com/Сотрудник337","Прокачался в микросервисы","Улучшить документацию по процессам","8","7","3"
"Сотрудник 338","Работа над проектом T","Оптимизировал подписку (+3% конверсии)","Запуск без багов","https://example.com/Сотрудник338","Прокачался в автоматизация","Улучшить документацию по документации","10","9","3"
"Сотрудник 339","Работа над проектом S","Снизил количество алертов на 1%","Запуск без багов","https://example.com/Сотрудник339","Прокачался в DevOps","Улучшить документацию по API","5","10","3"
"Сотрудник 340","Работа над проектом Z","Снизил количество алертов на 3%","SLA соблюдены на 99.9%","https://example.com/Сотрудник340","Прокачался в микросервисы","Улучшить документацию по API","8","10","3"
"Сотрудник 341","Работа над проектом O","Оптимизировал подписку (+5% конверсии)","Запуск без багов","https://example.com/Сотрудник341","Прокачался в контейнеризация","Улучшить документацию по микросервисам","10","5","3"
"Сотрудник 342","Работа над проектом A","Сократил время обработки на 9%","Обновлена база знаний","https://example.com/Сотрудник342","Прокачался в микросервисы","Улучшить документацию по документации","6","8","3"
"Сотрудник 343","Работа над проектом I","Оптимизировал подписку (+2% конверсии)","Соблюдены сроки всех задач","https://example.com/Сотрудник343","Прокачался в DevOps","Улучшить документацию по API","7","10","3"
"Сотрудник 344","Работа над проектом Z","Улучшил производительность на 2%","Соблюдены сроки всех задач","https://example.com/Сотрудник344","Прокачался в CI/CD","Улучшить документацию по процессам","9","8","3"
"Сотрудник 345","Работа над проектом Q","Оптимизировал подписку (+2% конверсии)","SLA соблюдены на 99.3%","https://example.com/Сотрудник345","Прокачался в DevOps","Улучшить документацию по базам данных","8","8","3"
"Сотрудник 346","Работа над проектом S","Оптимизировал подписку (+4% конверсии)","Обновлена база знаний","https://example.com/Сотрудник346","Прокачался в оптимизация","Улучшить документацию по процессам","5","10","3"
"Сотрудник 347","Работа над проектом J","Снизил количество алертов на 3%","Обновлена база знаний","https://example.com/Сотрудник347","Прокачался в автоматизация","Улучшить документацию по процессам","8","7","3"
"Сотрудник 348","Работа над проектом M","Закрыл 8 задач из бэклога","SLA соблюдены на 99.3%","https://example.com/Сотрудник348","Прокачался в DevOps","Улучшить документацию по документации","10","7","3"
"Сотрудник 349","Работа над проектом O","Снизил количество алертов на 4%","Запуск без багов","https://example.com/Сотрудник349","Прокачался в контейнеризация","Улучшить документацию по документации","5","10","3"
"Сотрудник 350","Работа над проектом D","Закрыл 5 задач из бэклога","Обновлена база знаний","https://example.com/Сотрудник350","Прокачался в CI/CD","Улучшить документацию по микросервисам","10","8","3"
"Сотрудник 351","Работа над проектом T","Улучшил производительность на 9%","Достигнуты целевые показатели","https://example.com/Сотрудник351","Прокачался в автоматизация","Улучшить документацию по процессам","6","8","3"
"Сотрудник 352","Работа над проектом A","Улучшил производительность на 7%","Запуск без багов","https://example.com/Сотрудник352","Прокачался в CI/CD","Улучшить документацию по процессам","6","5","2"
"Сотрудник 353","Работа над проектом W","Оптимизировал подписку (+4% конверсии)","Обновлена база знаний","https://example.com/Сотрудник353","Прокачался в микросервисы","Улучшить документацию по API","5","6","2"
"Сотрудник 354","Работа над проектом H","Закрыл 10 задач из бэклога","Обновлена база знаний","https://example.com/Сотрудник354","Прокачался в DevOps","Улучшить документацию по микросервисам","8","9","3"
"Сотрудник 355","Работа над проектом I","Сократил время обработки на 5%","Обновлена база знаний","https://example.com/Сотрудник355","Прокачался в микросервисы","Улучшить документацию по базам данных","9","7","3"
"Сотрудник 356","Работа над проектом X","Улучшил производительность на 5%","Соблюдены сроки всех задач","https://example.com/Сотрудник356","Прокачался в DevOps","Улучшить документацию по процессам","10","9","3"
"Сотрудник 357","Работа над проектом M","Улучшил производительность на 10%","SLA соблюдены на 98.4%","https://example.com/Сотрудник357","Прокачался в контейнеризация","Улучшить документацию по документации","8","5","3"
"Сотрудник 358","Работа над проектом Z","Улучшил производительность на 4%","Обновлена база знаний","https://example.com/Сотрудник358","Прокачался в микросервисы","Улучшить документацию по процессам","8","6","3"
"Сотрудник 359","Работа над проектом O","Улучшил производительность на 9%","SLA соблюдены на 98.7%","https://example.com/Сотрудник359","Прокачался в DevOps","Улучшить документацию по микросервисам","5","5","2"
"Сотрудник 360","Работа над проектом X","Оптимизировал подписку (+3% конверсии)","SLA соблюдены на 99.6%","https://example.com/Сотрудник360","Прокачался в CI/CD","Улучшить документацию по процессам","7","5","2"
"Сотрудник 361","Работа над проектом E","Закрыл 16 задач из бэклога","Обновлена база знаний","https://example.com/Сотрудник361","Прокачался в оптимизация","Улучшить документацию по процессам","10","9","3"
"Сотрудник 362","Работа над проектом U","Закрыл 5 задач из бэклога","SLA соблюдены на 98.6%","https://example.com/Сотрудник362","Прокачался в DevOps","Улучшить документацию по документации","10","5","3"
"Сотрудник 363","Работа над проектом O","Сократил время обработки на 11%","SLA соблюдены на 98.2%","https://example.com/Сотрудник363","Прокачался в автоматизация","Улучшить документацию по документации","9","7","3"
"Сотрудник 364","Работа над проектом N","Улучшил производительность на 6%","SLA соблюдены на 99.9%","https://example.com/Сотрудник364","Прокачался в контейнеризация","Улучшить документацию по процессам","5","7","2"
"Сотрудник 365","Работа над проектом G","Снизил количество алертов на 5%","Запуск без багов","https://example.com/Сотрудник365","Прокачался в автоматизация","Улучшить документацию по документации","6","6","2"
"Сотрудник 366","Работа над проектом K","Сократил время обработки на 9%","SLA соблюдены на 98.8%","https://example.com/Сотрудник366","Прокачался в автоматизация","Улучшить документацию по API","5","6","2"
"Сотрудник 367","Работа над проектом A","Сократил время обработки на 3%","Соблюдены сроки всех задач","https://example.com/Сотрудник367","Прокачался в CI/CD","Улучшить документацию по API","9","9","3"
"Сотрудник 368","Работа над проектом W","Оптимизировал подписку (+4% конверсии)","Запуск без багов","https://example.com/Сотрудник368","Прокачался в DevOps","Улучшить документацию по базам данных","5","10","3"
"Сотрудник 369","Работа над проектом G","Закрыл 8 задач из бэклога","SLA соблюдены на 98.8%","https://example.com/Сотрудник369","Прокачался в CI/CD","Улучшить документацию по базам данных","10","6","3"
"Сотрудник 370","Работа над проектом X","Оптимизировал подписку (+5% конверсии)","Обновлена база знаний","https://example.com/Сотрудник370","Прокачался в CI/CD","Улучшить документацию по API","6","10","3"
"Сотрудник 371","Работа над проектом W","Сократил время обработки на 9%","Обновлена база знаний","https://example.com/Сотрудник371","Прокачался в контейнеризация","Улучшить документацию по документации","7","8","3"
"Сотрудник 372","Работа над проектом D","Снизил количество алертов на 6%","Соблюдены сроки всех задач","https://example.com/Сотрудник372","Прокачался в оптимизация","Улучшить документацию по микросервисам","6","9","3"
"Сотрудник 373","Работа над проектом Z","Сократил время обработки на 10%","SLA соблюдены на 98.9%","https://example.com/Сотрудник373","Прокачался в микросервисы","Улучшить документацию по документации","9","5","3"
"Сотрудник 374","Работа над проектом H","Оптимизировал подписку (+3% конверсии)","SLA соблюдены на 98.8%","https://example.com/Сотрудник374","Прокачался в CI/CD","Улучшить документацию по документации","10","6","3"
"Сотрудник 375","Работа над проектом H","Сократил время обработки на 9%","Соблюдены сроки всех задач","https://example.com/Сотрудник375","Прокачался в автоматизация","Улучшить документацию по документации","9","6","3"
"Сотрудник 376","Работа над проектом R","Закрыл 5 задач из бэклога","SLA соблюдены на 99.7%","https://example.com/Сотрудник376","Прокачался в оптимизация","Улучшить документацию по микросервисам","10","9","3"
"Сотрудник 377","Работа над проектом S","Оптимизировал подписку (+3% конверсии)","SLA соблюдены на 98.5%","https://example.com/Сотрудник377","Прокачался в DevOps","Улучшить документацию по базам данных","9","8","3"
"Сотрудник 378","Работа над проектом O","Снизил количество алертов на 5%","Соблюдены сроки всех задач","https://example.com/Сотрудник378","Прокачался в контейнеризация","Улучшить документацию по процессам","10","5","3"
"Сотрудник 379","Работа над проектом V","Улучшил производительность на 10%","Запуск без багов","https://example.com/Сотрудник379","Прокачался в контейнеризация","Улучшить документацию по микросервисам","8","5","3"
"Сотрудник 380","Работа над проектом G","Снизил количество алертов на 10%","Запуск без багов","https://example.com/Сотрудник380","Прокачался в микросервисы","Улучшить документацию по документации","7","8","3"
"Сотрудник 381","Работа над проектом V","Оптимизировал подписку (+5% конверсии)","Достигнуты целевые показатели","https://example.com/Сотрудник381","Прокачался в контейнеризация","Улучшить документацию по процессам","8","5","3"
"Сотрудник 382","Работа над проектом T","Закрыл 16 задач из бэклога","Соблюдены сроки всех задач","https://example.com/Сотрудник382","Прокачался в DevOps","Улучшить документацию по документации","7","5","2"
"Сотрудник 383","Работа над проектом R","Закрыл 15 задач из бэклога","Запуск без багов","https://example.com/Сотрудник383","Прокачался в CI/CD","Улучшить документацию по процессам","9","10","3"
"Сотрудник 384","Работа над проектом L","Закрыл 5 задач из бэклога","Соблюдены сроки всех задач","https://example.com/Сотрудник384","Прокачался в оптимизация","Улучшить документацию по документации","6","7","3"
"Сотрудник 385","Работа над проектом V","Сократил время обработки на 7%","Достигнуты целевые показатели","https://example.com/Сотрудник385","Прокачался в контейнеризация","Улучшить документацию по микросервисам","5","6","2"
"Сотрудник 386","Работа над проектом Z","Оптимизировал подписку (+5% конверсии)","Запуск без багов","https://example.com/Сотрудник386","Прокачался в автоматизация","Улучшить документацию по микросервисам","9","5","3"
"Сотрудник 387","Работа над проектом M","Закрыл 15 задач из бэклога","Запуск без багов","https://example.com/Сотрудник387","Прокачался в микросервисы","Улучшить документацию по базам данных","7","8","3"
"Сотрудник 388","Работа над проектом J","Улучшил производительность на 1%","Достигнуты целевые показатели","https://example.com/Сотрудник388","Прокачался в DevOps","Улучшить документацию по базам данных","7","10","3"
"Сотрудник 389","Работа над проектом P","Сократил время обработки на 20%","Обновлена база знаний","https://example.com/Сотрудник389","Прокачался в микросервисы","Улучшить документацию по API","6","10","3"
"Сотрудник 390","Работа над проектом T","Сократил время обработки на 10%","Соблюдены сроки всех задач","https://example.com/Сотрудник390","Прокачался в микросервисы","Улучшить документацию по документации","5","6","2"
"Сотрудник 391","Работа над проектом X","Снизил количество алертов на 2%","SLA соблюдены на 99.8%","https://example.com/Сотрудник391","Прокачался в DevOps","Улучшить документацию по процессам","6","6","2"
"Сотрудник 392","Работа над проектом X","Улучшил производительность на 2%","SLA соблюдены на 99.2%","https://example.com/Сотрудник392","Прокачался в микросервисы","Улучшить документацию по API","6","5","2"
"Сотрудник 393","Работа над проектом S","Улучшил производительность на 9%","SLA соблюдены на 98.8%","https://example.com/Сотрудник393","Прокачался в CI/CD","Улучшить документацию по базам данных","9","7","3"
"Сотрудник 394","Работа над проектом D","Улучшил производительность на 6%","SLA соблюдены на 99.3%","https://example.com/Сотрудник394","Прокачался в контейнеризация","Улучшить документацию по процессам","5","5","2"
"Сотрудник 395","Работа над проектом Z","Закрыл 5 задач из бэклога","Достигнуты целевые показатели","https://example.com/Сотрудник395","Прокачался в микросервисы","Улучшить документацию по базам данных","8","6","3"
"Сотрудник 396","Работа над проектом N","Сократил время обработки на 3%","Запуск без багов","https://example.com/Сотрудник396","Прокачался в контейнеризация","Улучшить документацию по микросервисам","6","6","2"
"Сотрудник 397","Работа над проектом J","Улучшил производительность на 8%","Запуск без багов","https://example.com/Сотрудник397","Прокачался в микросервисы","Улучшить документацию по документации","5","5","2"
"Сотрудник 398","Работа над проектом N","Закрыл 16 задач из бэклога","Обновлена база знаний","https://example.com/Сотрудник398","Прокачался в DevOps","Улучшить документацию по микросервисам","5","8","3"
"Сотрудник 399","Работа над проектом R","Улучшил производительность на 4%","Запуск без багов","https://example.com/Сотрудник399","Прокачался в автоматизация","Улучшить документацию по документации","8","6","3"
"Сотрудник 400","Работа над проектом M","Оптимизировал подписку (+4% конверсии)","Обновлена база знаний","https://example.com/Сотрудник400","Прокачался в CI/CD","Улучшить документацию по процессам","6","7","3"
"Сотрудник 401","Работа над проектом I","Снизил количество алертов на 3%","Обновлена база знаний","https://example.com/Сотрудник401","Прокачался в DevOps","Улучшить документацию по процессам","6","7","3"
"Сотрудник 402","Работа над проектом T","Снизил количество алертов на 4%","Достигнуты целевые показатели","https://example.com/Сотрудник402","Прокачался в автоматизация","Улучшить документацию по API","10","9","3"
"Сотрудник 403","Работа над проектом S","Оптимизировал подписку (+1% конверсии)","SLA соблюдены на 99.6%","https://example.com/Сотрудник403","Прокачался в контейнеризация","Улучшить документацию по базам данных","8","10","3"
"Сотрудник 404","Работа над проектом R","Сократил время обработки на 6%","Запуск без багов","https://example.com/Сотрудник404","Прокачался в DevOps","Улучшить документацию по документации","10","10","3"
"Сотрудник 405","Работа над проектом F","Сократил время обработки на 6%","Достигнуты целевые показатели","https://example.com/Сотрудник405","Прокачался в CI/CD","Улучшить документацию по базам данных","8","9","3"
"Сотрудник 406","Работа над проектом L","Сократил время обработки на 11%","Соблюдены сроки всех задач","https://example.com/Сотрудник406","Прокачался в оптимизация","Улучшить документацию по базам данных","9","6","3"
"Сотрудник 407","Работа над проектом D","Улучшил производительность на 3%","SLA соблюдены на 99.4%","https://example.com/Сотрудник407","Прокачался в CI/CD","Улучшить документацию по документации","10","7","3"
"Сотрудник 408","Работа над проектом G","Оптимизировал подписку (+1% конверсии)","Запуск без багов","https://example.com/Сотрудник408","Прокачался в автоматизация","Улучшить документацию по процессам","5","10","3"
"Сотрудник 409","Работа над проектом V","Закрыл 19 задач из бэклога","Достигнуты целевые показатели","https://example.com/Сотрудник409","Прокачался в автоматизация","Улучшить документацию по базам данных","7","10","3"
"Сотрудник 410","Работа над проектом J","Улучшил производительность на 2%","SLA соблюдены на 99.3%","https://example.com/Сотрудник410","Прокачался в микросервисы","Улучшить документацию по процессам","10","10","3"
"Сотрудник 411","Работа над проектом U","Сократил время обработки на 11%","Обновлена база знаний","https://example.com/Сотрудник411","Прокачался в автоматизация","Улучшить документацию по процессам","9","5","3"
"Сотрудник 412","Работа над проектом I","Снизил количество алертов на 7%","Достигнуты целевые показатели","https://example.com/Сотрудник412","Прокачался в автоматизация","Улучшить документацию по микросервисам","8","5","3"
"Сотрудник 413","Работа над проектом G","Закрыл 9 задач из бэклога","Обновлена база знаний","https://example.com/Сотрудник413","Прокачался в контейнеризация","Улучшить документацию по API","6","5","2"
"Сотрудник 414","Работа над проектом J","Закрыл 14 задач из бэклога","SLA соблюдены на 99.6%","https://example.com/Сотрудник414","Прокачался в CI/CD","Улучшить документацию по документации","9","7","3"
"Сотрудник 415","Работа над проектом I","Улучшил производительность на 5%","SLA соблюдены на 98.5%","https://example.com/Сотрудник415","Прокачался в DevOps","Улучшить документацию по документации","5","7","2"
"Сотрудник 416","Работа над проектом O","Снизил количество алертов на 8%","Достигнуты целевые показатели","https://example.com/Сотрудник416","Прокачался в оптимизация","Улучшить документацию по базам данных","8","10","3"
"Сотрудник 417","Работа над проектом O","Снизил количество алертов на 8%","Соблюдены сроки всех задач","https://example.com/Сотрудник417","Прокачался в DevOps","Улучшить документацию по процессам","6","7","3"
"Сотрудник 418","Работа над проектом R","Закрыл 17 задач из бэклога","Обновлена база знаний","https://example.com/Сотрудник418","Прокачался в DevOps","Улучшить документацию по микросервисам","5","5","2"
"Сотрудник 419","Работа над проектом Y","Оптимизировал подписку (+4% конверсии)","Запуск без багов","https://example.com/Сотрудник419","Прокачался в CI/CD","Улучшить документацию по процессам","8","7","3"
"Сотрудник 420","Работа над проектом C","Снизил количество алертов на 10%","Достигнуты целевые показатели","https://example.com/Сотрудник420","Прокачался в автоматизация","Улучшить документацию по микросервисам","6","10","3"
"Сотрудник 421","Работа над проектом O","Закрыл 17 задач из бэклога","Достигнуты целевые показатели","https://example.com/Сотрудник421","Прокачался в CI/CD","Улучшить документацию по процессам","8","8","3"
"Сотрудник 422","Работа над проектом Q","Сократил время обработки на 9%","Соблюдены сроки всех задач","https://example.com/Сотрудник422","Прокачался в оптимизация","Улучшить документацию по микросервисам","8","8","3"
"Сотрудник 423","Работа над проектом G","Закрыл 18 задач из бэклога","Соблюдены сроки всех задач","https://example.com/Сотрудник423","Прокачался в оптимизация","Улучшить документацию по процессам","7","9","3"
"Сотрудник 424","Работа над проектом O","Закрыл 16 задач из бэклога","Обновлена база знаний","https://example.com/Сотрудник424","Прокачался в контейнеризация","Улучшить документацию по API","9","9","3"
"Сотрудник 425","Работа над проектом V","Снизил количество алертов на 2%","Запуск без багов","https://example.com/Сотрудник425","Прокачался в автоматизация","Улучшить документацию по микросервисам","7","7","3"
"Сотрудник 426","Работа над проектом U","Улучшил производительность на 6%","Достигнуты целевые показатели","https://example.com/Сотрудник426","Прокачался в оптимизация","Улучшить документацию по процессам","8","10","3"
"Сотрудник 427","Работа над проектом G","Снизил количество алертов на 5%","Достигнуты целевые показатели","https://example.com/Сотрудник427","Прокачался в автоматизация","Улучшить документацию по процессам","7","5","2"
"Сотрудник 428","Работа над проектом N","Сократил время обработки на 5%","Запуск без багов","https://example.com/Сотрудник428","Прокачался в контейнеризация","Улучшить документацию по базам данных","7","6","3"
"Сотрудник 429","Работа над проектом H","Закрыл 15 задач из бэклога","Обновлена база знаний","https://example.com/Сотрудник429","Прокачался в DevOps","Улучшить документацию по процессам","8","6","3"
"Сотрудник 430","Работа над проектом C","Улучшил производительность на 3%","Достигнуты целевые показатели","https://example.com/Сотрудник430","Прокачался в CI/CD","Улучшить документацию по микросервисам","10","9","3"
"Сотрудник 431","Работа над проектом U","Сократил время обработки на 8%","Запуск без багов","https://example.com/Сотрудник431","Прокачался в CI/CD","Улучшить документацию по процессам","9","6","3"
"Сотрудник 432","Работа над проектом A","Закрыл 14 задач из бэклога","Соблюдены сроки всех задач","https://example.com/Сотрудник432","Прокачался в контейнеризация","Улучшить документацию по документации","6","6","2"
"Сотрудник 433","Работа над проектом B","Оптимизировал подписку (+2% конверсии)","Обновлена база знаний","https://example.com/Сотрудник433","Прокачался в оптимизация","Улучшить документацию по документации","10","7","3"
"Сотрудник 434","Работа над проектом D","Улучшил производительность на 10%","Обновлена база знаний","https://example.com/Сотрудник434","Прокачался в автоматизация","Улучшить документацию по процессам","9","7","3"
"Сотрудник 435","Работа над проектом C","Закрыл 9 задач из бэклога","Соблюдены сроки всех задач","https://example.com/Сотрудник435","Прокачался в микросервисы","Улучшить документацию по API","5","7","2"
"Сотрудник 436","Работа над проектом T","Снизил количество алертов на 8%","Запуск без багов","https://example.com/Сотрудник436","Прокачался в DevOps","Улучшить документацию по процессам","8","7","3"
"Сотрудник 437","Работа над проектом Q","Оптимизировал подписку (+4% конверсии)","SLA соблюдены на 99.8%","https://example.com/Сотрудник437","Прокачался в контейнеризация","Улучшить документацию по API","6","9","3"
"Сотрудник 438","Работа над проектом D","Сократил время обработки на 11%","SLA соблюдены на 98.4%","https://example.com/Сотрудник438","Прокачался в контейнеризация","Улучшить документацию по базам данных","6","10","3"
"Сотрудник 439","Работа над проектом L","Улучшил производительность на 6%","Достигнуты целевые показатели","https://example.com/Сотрудник439","Прокачался в контейнеризация","Улучшить документацию по базам данных","8","7","3"
"Сотрудник 440","Работа над проектом J","Улучшил производительность на 10%","Соблюдены сроки всех задач","https://example.com/Сотрудник440","Прокачался в CI/CD","Улучшить документацию по базам данных","5","8","3"
"Сотрудник 441","Работа над проектом B","Снизил количество алертов на 1%","Запуск без багов","https://example.com/Сотрудник441","Прокачался в контейнеризация","Улучшить документацию по микросервисам","5","7","2"
"Сотрудник 442","Работа над проектом K","Закрыл 10 задач из бэклога","Соблюдены сроки всех задач","https://example.com/Сотрудник442","Прокачался в CI/CD","Улучшить документацию по API","10","10","3"
"Сотрудник 443","Работа над проектом S","Снизил количество алертов на 9%","SLA соблюдены на 99.0%","https://example.com/Сотрудник443","Прокачался в CI/CD","Улучшить документацию по процессам","10","9","3"
"Сотрудник 444","Работа над проектом M","Сократил время обработки на 11%","Запуск без багов","https://example.com/Сотрудник444","Прокачался в микросервисы","Улучшить документацию по документации","5","7","2"
"Сотрудник 445","Работа над проектом H","Оптимизировал подписку (+5% конверсии)","Запуск без багов","https://example.com/Сотрудник445","Прокачался в DevOps","Улучшить документацию по документации","6","6","2"
"Сотрудник 446","Работа над проектом K","Оптимизировал подписку (+3% конверсии)","SLA соблюдены на 99.7%","https://example.com/Сотрудник446","Прокачался в CI/CD","Улучшить документацию по API","5","8","3"
"Сотрудник 447","Работа над проектом U","Закрыл 19 задач из бэклога","SLA соблюдены на 99.8%","https://example.com/Сотрудник447","Прокачался в оптимизация","Улучшить документацию по микросервисам","10","5","3"
"Сотрудник 448","Работа над проектом A","Снизил количество алертов на 1%","Соблюдены сроки всех задач","https://example.com/Сотрудник448","Прокачался в оптимизация","Улучшить документацию по базам данных","10","6","3"
